CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/367.py
MEM 38.171875 1745294946.2835
MEM 38.171875 1745294946.2847
MEM 38.171875 1745294946.2859
MEM 38.171875 1745294946.2871
MEM 38.328125 1745294946.2883
MEM 38.328125 1745294946.2895
MEM 38.328125 1745294946.2907
MEM 38.484375 1745294946.2919
MEM 38.796875 1745294946.2931
MEM 38.796875 1745294946.2942
MEM 38.953125 1745294946.2954
MEM 38.953125 1745294946.2966
MEM 39.109375 1745294946.2978
MEM 39.265625 1745294946.2991
MEM 39.265625 1745294946.3002
MEM 39.421875 1745294946.3014
MEM 39.734375 1745294946.3026
MEM 39.734375 1745294946.3038
MEM 39.890625 1745294946.3050
MEM 39.890625 1745294946.3062
MEM 40.046875 1745294946.3085
MEM 40.046875 1745294946.3097
MEM 40.203125 1745294946.3109
MEM 40.359375 1745294946.3121
MEM 40.687500 1745294946.3133
MEM 40.843750 1745294946.3145
MEM 40.843750 1745294946.3157
MEM 41.000000 1745294946.3169
MEM 41.000000 1745294946.3195
MEM 41.156250 1745294946.3207
MEM 41.312500 1745294946.3219
MEM 41.468750 1745294946.3231
MEM 41.468750 1745294946.3242
MEM 41.468750 1745294946.3254
MEM 41.785156 1745294946.3266
MEM 41.785156 1745294946.3278
MEM 41.941406 1745294946.3290
MEM 41.941406 1745294946.3301
MEM 42.253906 1745294946.3335
MEM 42.253906 1745294946.3347
MEM 42.253906 1745294946.3359
MEM 42.410156 1745294946.3371
MEM 42.410156 1745294946.3382
MEM 42.566406 1745294946.3394
MEM 42.722656 1745294946.3406
MEM 42.878906 1745294946.3418
MEM 42.878906 1745294946.3430
MEM 43.035156 1745294946.3441
MEM 43.035156 1745294946.3453
MEM 43.191406 1745294946.3465
MEM 43.191406 1745294946.3477
MEM 43.191406 1745294946.3489
MEM 43.503906 1745294946.3501
MEM 43.503906 1745294946.3513
MEM 43.816406 1745294946.3545
MEM 43.972656 1745294946.3557
MEM 43.972656 1745294946.3569
MEM 44.128906 1745294946.3581
MEM 44.128906 1745294946.3593
MEM 44.285156 1745294946.3605
MEM 44.285156 1745294946.3616
MEM 44.285156 1745294946.3628
MEM 44.441406 1745294946.3640
MEM 44.597656 1745294946.3652
MEM 44.597656 1745294946.3664
MEM 44.753906 1745294946.3676
MEM 44.753906 1745294946.3688
MEM 44.910156 1745294946.3700
MEM 45.066406 1745294946.3712
MEM 45.378906 1745294946.3755
MEM 45.378906 1745294946.3767
MEM 46.785156 1745294946.3779
MEM 46.382812 1745294946.3791
MEM 46.539062 1745294946.3803
MEM 46.539062 1745294946.3815
MEM 46.695312 1745294946.3827
MEM 46.695312 1745294946.3839
MEM 46.851562 1745294946.3851
MEM 46.851562 1745294946.3863
MEM 47.007812 1745294946.3875
MEM 47.007812 1745294946.3886
MEM 47.164062 1745294946.3898
MEM 47.164062 1745294946.3910
MEM 47.164062 1745294946.3922
MEM 47.164062 1745294946.3934
MEM 47.320312 1745294946.3945
MEM 47.320312 1745294946.3957
MEM 47.320312 1745294946.3969
MEM 47.320312 1745294946.3981
MEM 47.320312 1745294946.3993
MEM 47.476562 1745294946.4004
MEM 47.476562 1745294946.4045
MEM 47.476562 1745294946.4057
MEM 47.632812 1745294946.4069
MEM 47.632812 1745294946.4080
MEM 47.632812 1745294946.4092
MEM 47.632812 1745294946.4104
MEM 47.632812 1745294946.4116
MEM 47.632812 1745294946.4127
MEM 47.632812 1745294946.4139
MEM 47.632812 1745294946.4151
MEM 47.632812 1745294946.4163
MEM 47.632812 1745294946.4174
MEM 47.632812 1745294946.4186
MEM 47.632812 1745294946.4198
MEM 47.632812 1745294946.4209
MEM 47.632812 1745294946.4221
MEM 47.632812 1745294946.4233
MEM 47.632812 1745294946.4245
MEM 47.632812 1745294946.4256
MEM 47.632812 1745294946.4268
MEM 47.632812 1745294946.4280
MEM 47.632812 1745294946.4292
MEM 47.632812 1745294946.4303
MEM 47.632812 1745294946.4325
MEM 47.632812 1745294946.4337
MEM 47.632812 1745294946.4349
MEM 47.632812 1745294946.4361
MEM 47.632812 1745294946.4373
MEM 47.632812 1745294946.4384
MEM 47.632812 1745294946.4396
MEM 47.945312 1745294946.4475
