CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Gemini-2Flash/744.py
MEM 50.597656 1745294911.8906
MEM 50.597656 1745294911.8918
MEM 50.597656 1745294911.8930
MEM 50.597656 1745294911.8942
MEM 50.597656 1745294911.8953
MEM 50.597656 1745294911.8965
MEM 50.597656 1745294911.8976
MEM 50.597656 1745294911.8988
MEM 50.597656 1745294911.9000
MEM 50.597656 1745294911.9011
MEM 50.597656 1745294911.9023
MEM 50.597656 1745294911.9035
MEM 50.597656 1745294911.9046
MEM 50.597656 1745294911.9058
MEM 50.597656 1745294911.9069
MEM 50.597656 1745294911.9081
MEM 50.597656 1745294911.9092
MEM 50.597656 1745294911.9104
MEM 50.597656 1745294911.9116
MEM 50.597656 1745294911.9127
MEM 50.597656 1745294911.9139
MEM 50.597656 1745294911.9151
MEM 50.597656 1745294911.9162
MEM 50.597656 1745294911.9174
MEM 50.597656 1745294911.9186
MEM 50.597656 1745294911.9197
MEM 50.597656 1745294911.9209
MEM 50.597656 1745294911.9221
MEM 50.597656 1745294911.9232
MEM 50.597656 1745294911.9244
MEM 50.597656 1745294911.9255
MEM 50.597656 1745294911.9266
MEM 50.597656 1745294911.9278
MEM 50.597656 1745294911.9289
MEM 50.597656 1745294911.9325
MEM 50.597656 1745294911.9337
MEM 50.597656 1745294911.9349
MEM 50.597656 1745294911.9361
MEM 50.597656 1745294911.9372
MEM 50.597656 1745294911.9384
MEM 50.597656 1745294911.9396
MEM 50.597656 1745294911.9408
MEM 50.597656 1745294911.9419
MEM 50.597656 1745294911.9431
MEM 50.597656 1745294911.9442
MEM 50.597656 1745294911.9454
MEM 50.597656 1745294911.9465
MEM 50.597656 1745294911.9477
MEM 50.597656 1745294911.9489
MEM 50.597656 1745294911.9500
MEM 50.597656 1745294911.9512
MEM 50.597656 1745294911.9523
MEM 50.597656 1745294911.9535
MEM 50.597656 1745294911.9546
MEM 50.597656 1745294911.9575
MEM 50.597656 1745294911.9587
MEM 50.597656 1745294911.9598
MEM 50.597656 1745294911.9610
MEM 50.597656 1745294911.9622
MEM 50.597656 1745294911.9633
MEM 50.597656 1745294911.9645
MEM 50.597656 1745294911.9656
MEM 50.597656 1745294911.9668
MEM 50.597656 1745294911.9679
MEM 50.597656 1745294911.9691
MEM 50.597656 1745294911.9703
MEM 50.597656 1745294911.9714
MEM 50.597656 1745294911.9726
MEM 50.597656 1745294911.9737
MEM 50.597656 1745294911.9785
MEM 50.597656 1745294911.9797
MEM 50.597656 1745294911.9808
MEM 50.597656 1745294911.9820
MEM 50.597656 1745294911.9832
MEM 50.597656 1745294911.9843
