CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/gpt-4-turbo/1539.py
MEM 35.406250 1745294933.0121
MEM 35.406250 1745294933.0133
MEM 36.500000 1745294933.0145
MEM 36.156250 1745294933.0157
MEM 36.468750 1745294933.0183
MEM 36.468750 1745294933.0195
MEM 36.625000 1745294933.0207
MEM 37.250000 1745294933.0276
MEM 37.250000 1745294933.0288
MEM 37.406250 1745294933.0300
MEM 37.562500 1745294933.0312
MEM 37.562500 1745294933.0323
MEM 37.718750 1745294933.0335
MEM 38.031250 1745294933.0347
MEM 38.187500 1745294933.0359
MEM 38.187500 1745294933.0370
MEM 38.187500 1745294933.0382
MEM 38.343750 1745294933.0394
MEM 38.343750 1745294933.0405
MEM 38.500000 1745294933.0417
MEM 38.812500 1745294933.0429
MEM 38.968750 1745294933.0442
MEM 39.125000 1745294933.0466
MEM 39.281250 1745294933.0478
MEM 39.437500 1745294933.0489
MEM 39.750000 1745294933.0501
MEM 39.906250 1745294933.0512
MEM 39.906250 1745294933.0524
MEM 40.062500 1745294933.0535
MEM 40.062500 1745294933.0547
MEM 40.859375 1745294933.0575
MEM 41.015625 1745294933.0588
MEM 41.015625 1745294933.0600
MEM 41.015625 1745294933.0612
MEM 41.800781 1745294933.0665
MEM 41.957031 1745294933.0677
MEM 41.957031 1745294933.0689
MEM 42.113281 1745294933.0702
MEM 42.269531 1745294933.0714
MEM 42.269531 1745294933.0726
MEM 42.269531 1745294933.0738
MEM 42.425781 1745294933.0749
MEM 42.582031 1745294933.0761
MEM 42.738281 1745294933.0773
MEM 42.894531 1745294933.0784
MEM 43.050781 1745294933.0796
MEM 43.207031 1745294933.0808
MEM 43.207031 1745294933.0819
MEM 43.363281 1745294933.0831
MEM 43.519531 1745294933.0843
MEM 43.675781 1745294933.0854
MEM 43.832031 1745294933.0866
MEM 43.988281 1745294933.0878
MEM 43.988281 1745294933.0889
MEM 44.300781 1745294933.0914
MEM 44.300781 1745294933.0926
MEM 44.613281 1745294933.0952
MEM 44.613281 1745294933.0964
MEM 44.769531 1745294933.0976
MEM 45.082031 1745294933.0989
MEM 45.082031 1745294933.1000
MEM 45.238281 1745294933.1012
MEM 45.238281 1745294933.1023
MEM 45.238281 1745294933.1035
MEM 45.238281 1745294933.1049
MEM 45.238281 1745294933.1060
MEM 45.394531 1745294933.1072
MEM 46.644531 1745294933.1084
MEM 46.644531 1745294933.1115
MEM 46.398438 1745294933.1127
MEM 46.398438 1745294933.1140
MEM 46.554688 1745294933.1152
MEM 46.554688 1745294933.1164
MEM 46.554688 1745294933.1176
MEM 46.554688 1745294933.1187
MEM 46.710938 1745294933.1199
MEM 46.710938 1745294933.1211
MEM 46.867188 1745294933.1222
MEM 46.867188 1745294933.1234
MEM 46.867188 1745294933.1245
MEM 46.867188 1745294933.1257
MEM 47.023438 1745294933.1276
MEM 47.179688 1745294933.1288
MEM 47.179688 1745294933.1299
MEM 47.179688 1745294933.1311
MEM 47.179688 1745294933.1323
MEM 47.179688 1745294933.1334
MEM 47.179688 1745294933.1347
MEM 47.179688 1745294933.1359
MEM 47.335938 1745294933.1396
MEM 47.335938 1745294933.1408
MEM 47.335938 1745294933.1420
MEM 47.335938 1745294933.1431
MEM 47.335938 1745294933.1443
MEM 47.335938 1745294933.1455
MEM 47.492188 1745294933.1466
MEM 47.492188 1745294933.1478
MEM 47.492188 1745294933.1490
MEM 47.492188 1745294933.1502
MEM 47.492188 1745294933.1514
MEM 47.492188 1745294933.1526
MEM 47.492188 1745294933.1538
MEM 47.492188 1745294933.1549
MEM 47.648438 1745294933.1561
MEM 47.648438 1745294933.1572
MEM 47.648438 1745294933.1584
MEM 47.648438 1745294933.1595
MEM 47.648438 1745294933.1607
MEM 47.648438 1745294933.1620
MEM 47.648438 1745294933.1632
MEM 47.648438 1745294933.1644
MEM 47.648438 1745294933.1685
MEM 47.648438 1745294933.1697
MEM 47.648438 1745294933.1709
MEM 47.648438 1745294933.1721
MEM 47.648438 1745294933.1735
MEM 47.648438 1745294933.1758
MEM 47.648438 1745294933.1770
MEM 47.648438 1745294933.1781
MEM 47.648438 1745294933.1793
MEM 47.648438 1745294933.1805
MEM 47.648438 1745294933.1816
MEM 47.648438 1745294933.1827
MEM 47.648438 1745294933.1839
MEM 47.648438 1745294933.1852
MEM 47.648438 1745294933.1865
MEM 47.648438 1745294933.1876
MEM 47.648438 1745294933.1888
MEM 47.648438 1745294933.1899
MEM 47.648438 1745294933.1965
MEM 47.648438 1745294933.1977
MEM 47.648438 1745294933.1989
MEM 47.648438 1745294933.2015
MEM 47.648438 1745294933.2027
MEM 47.648438 1745294933.2038
MEM 47.960938 1745294933.2050
MEM 48.117188 1745294933.2061
MEM 48.273438 1745294933.2073
MEM 48.273438 1745294933.2084
MEM 48.273438 1745294933.2096
MEM 48.273438 1745294933.2107
MEM 48.585938 1745294933.2125
MEM 48.742188 1745294933.2136
MEM 48.742188 1745294933.2148
MEM 48.742188 1745294933.2159
MEM 48.742188 1745294933.2171
MEM 48.742188 1745294933.2182
MEM 48.742188 1745294933.2193
MEM 48.898438 1745294933.2205
MEM 48.898438 1745294933.2216
MEM 48.898438 1745294933.2228
MEM 49.054688 1745294933.2239
MEM 49.054688 1745294933.2251
MEM 49.054688 1745294933.2262
MEM 49.054688 1745294933.2274
MEM 49.210938 1745294933.2285
